date,ticker,close,volume
2016-08-03,MDT,86.67,3966387.0
2016-08-04,MDT,86.76,3560925.0
2016-08-05,MDT,87.09,3031406.0
2016-08-08,MDT,86.96,2871412.0
2016-08-09,MDT,87.74,3226340.0
2016-08-10,MDT,87.29,2869743.0
2016-08-11,MDT,87.8,2919592.0
2016-08-12,MDT,87.54,2418837.0
2016-08-15,MDT,87.91,3164903.0
2016-08-16,MDT,87.27,2593391.0
2016-08-17,MDT,87.13,4448237.0
2016-08-18,MDT,87.08,4131994.0
2016-08-19,MDT,87.04,5405005.0
2016-08-22,MDT,87.32,4130290.0
2016-08-23,MDT,87.8,3389799.0
2016-08-24,MDT,86.65,5286444.0
2016-08-25,MDT,85.39,7285270.0
2016-08-26,MDT,86.6,6181557.0
2016-08-29,MDT,87.46,3740184.0
2016-08-30,MDT,86.85,3088519.0
2016-08-31,MDT,87.03,5500745.0
2016-09-01,MDT,86.98,3116760.0
2016-09-02,MDT,87.32,3325280.0
2016-09-06,MDT,87.17,4149564.0
2016-09-07,MDT,86.15,4756536.0
2016-09-08,MDT,86.26,4187541.0
2016-09-09,MDT,84.87,5647975.0
2016-09-12,MDT,86.2,4529765.0
2016-09-13,MDT,84.84,5105478.0
2016-09-14,MDT,84.68,4111536.0
2016-09-15,MDT,85.66,4703058.0
2016-09-16,MDT,86.01,7781975.0
2016-09-19,MDT,85.99,4008456.0
2016-09-20,MDT,86.36,3874848.0
2016-09-21,MDT,87.14,3492488.0
2016-09-22,MDT,87.82,4351137.0
2016-09-23,MDT,87.71,3509067.0
2016-09-26,MDT,86.56,3729569.0
2016-09-27,MDT,86.67,3722731.0
2016-09-28,MDT,86.74,3207906.0
2016-09-29,MDT,85.4,4126019.0
2016-09-30,MDT,86.4,5001010.0
2016-10-03,MDT,86.39,3205333.0
2016-10-04,MDT,86.11,4092654.0
2016-10-05,MDT,86.3,2656435.0
2016-10-06,MDT,85.95,3057269.0
2016-10-07,MDT,85.96,3182362.0
2016-10-10,MDT,86.17,2815924.0
2016-10-11,MDT,83.2,9865199.0
2016-10-12,MDT,83.68,3861544.0
2016-10-13,MDT,83.31,4941254.0
2016-10-14,MDT,82.71,4042216.0
2016-10-17,MDT,82.57,3986835.0
2016-10-18,MDT,83.55,3510342.0
2016-10-19,MDT,83.67,3485860.0
2016-10-20,MDT,84.02,4438641.0
2016-10-21,MDT,83.91,4415015.0
2016-10-24,MDT,83.3,3777341.0
2016-10-25,MDT,82.47,3866554.0
2016-10-26,MDT,81.12,4626374.0
2016-10-27,MDT,81.13,3307409.0
2016-10-28,MDT,81.93,5281306.0
2016-10-31,MDT,82.02,6285420.0
2016-11-01,MDT,80.92,5663856.0
2016-11-02,MDT,81.09,4613146.0
2016-11-03,MDT,81.6,5501825.0
2016-11-04,MDT,82.14,5584541.0
2016-11-07,MDT,83.95,4519159.0
2016-11-08,MDT,84.34,4793090.0
2016-11-09,MDT,82.86,9800343.0
2016-11-10,MDT,82.72,6401748.0
2016-11-11,MDT,82.07,5199245.0
2016-11-14,MDT,78.75,12327788.0
2016-11-15,MDT,80.27,6878996.0
2016-11-16,MDT,80.89,4281879.0
2016-11-17,MDT,81.8,3792648.0
2016-11-18,MDT,80.93,4674186.0
2016-11-21,MDT,80.58,7387535.0
2016-11-22,MDT,73.6,31139833.0
2016-11-23,MDT,75.78,14397157.0
2016-11-25,MDT,75.52,3045998.0
