date,AAPL,ABBV,ABT,AMGN,AMZN,AVGO,BA,BAC,BMY,C,CELG,CMCSA,CSCO,CVX,DIS,DWDP,FB,GE,GILD,GOOG,GOOGL,HD,HON,IBM,INTC,JNJ,JPM,KO,MA,MCD,MDT,MMM,MO,MRK,MSFT,NVDA,ORCL,PCLN,PEP,PFE,PG,PM,T,UNH,V,VZ,WFC,WMT,XOM
2001-02-26,51609651,,5323215,8894500,6229100,,1854600,12056400,3432600,1339500,6440000,527399,91552600,4188800,4356100,,,21073600,35779200,,,10543400,6717800,8344100,60349600,5122800,8783500,9415600,,2763600,3464200,3368000,7980434,4205000,87936800,18795590,44847400,496600.0,3083700,11181500,12062800,,5063500,7338400,,4712200,7720200,6060200,9690400
2001-02-27,87129087,,8332941,10470700,7732600,,2993000,12820200,5880100,1629500,5984000,197600,124980300,4672200,3990100,,,22578900,25470400,,,8935800,9503200,9787900,40787300,4426600,11744300,7369600,,3666300,5490800,3815800,8308109,4129500,99148600,13345793,41584600,174200.0,3202800,8087800,9067200,,6312900,8135200,,3426400,7209600,7047400,13944600
2001-02-28,127058527,,8419196,10927300,14629800,,3053200,12699600,5772000,1469700,3449600,898400,118246500,4308800,3659900,,,26553400,18251200,,,7979800,9645800,11933200,48601400,6912800,10510600,11189600,,4582200,4426200,4183200,8274047,6320100,84608400,19601390,62362300,202700.0,2251300,14031300,7185000,,8131900,7023200,,4955000,7045400,7748200,11591200
2001-03-01,82615482,,5993693,9877900,10996700,,4226100,13457400,4116100,1447100,4776000,3120799,119256900,5236000,6343700,,,23957800,31913600,,,7726600,5193300,15102000,56268300,10275800,10551800,9725000,,4732100,6103500,5021800,9535829,4571100,81781600,22882188,76869400,347600.0,3359900,14837300,8327000,,8706100,10278400,,4100900,8979600,8692800,12507400
2001-03-02,101550501,,6727447,8758100,7545600,,3796100,11280400,3940300,1398600,4472800,408200,123632700,5213800,6722400,,,21981100,20952000,,,6377600,3793600,14745500,54626200,6963400,7559700,9115800,,4924700,5945200,5335400,9131642,3483000,79800800,35337582,224088800,178800.0,3230200,15909500,5813800,,20610400,6264400,,5189800,6782000,6472400,10093800
2001-03-05,81043281,,3768063,6120600,23500700,,2814700,8531400,2645200,1201100,4655200,526400,82668400,6764600,4324800,,,16671900,14086400,,,4188300,3841400,6743900,33275700,4280400,5988200,14449600,,2781400,2582100,2659000,5613229,3372100,49383600,18557390,51544000,122200.0,2086800,10063100,5362400,,6130800,6898800,,4536900,5492800,4568100,10030200
2001-03-06,182950782,,5958956,6934900,23191500,,2783400,8971800,4354500,1219900,4180800,710399,88650300,6489800,7377100,,,15691600,17443200,,,6202900,4173600,8120000,59734200,6046000,6844500,9274600,,5627300,3095100,3172200,5477287,5382600,66781800,20860189,57448400,188000.0,3879400,10659300,5177400,,6270100,6894000,,4712200,7346400,5096800,9572400
2001-03-07,104885304,,7608058,8970300,10644100,,3475800,11277000,7082700,1000800,4228800,236999,74824100,4273400,6149600,,,13889500,11878400,,,8762300,2735500,7788900,77832700,6952600,7296600,10325800,,3803700,3017100,2920800,9255557,8060500,59743600,23456988,52486500,120100.0,2980900,15972100,3833400,,7686600,6291600,,4168100,9027400,5419900,10331400
2001-03-08,51214851,,6612548,12403600,4957600,,4227400,13711800,4816800,1109100,8473600,239399,78985300,5803000,4977200,,,16572100,14043200,,,8456500,4486200,6793600,64903100,7897400,7064400,9774600,,4038800,4643700,4856800,7859350,7748000,54626000,20733589,40342100,115800.0,2644800,13707900,5234200,,4639400,5147600,,3736000,6455400,6034400,11167600
2001-03-09,74783874,,7476165,7722400,8856700,,2721500,8953400,5402600,1090300,6891200,211199,159948800,3767800,3594700,,,19891300,20886400,,,7067500,5366100,16688100,95273400,8291600,6377600,7863400,,3745400,2465500,6008200,8807909,5024700,103794400,30419384,58409900,242100.0,2090400,11227300,5324200,,6029300,5487200,,3863400,5289800,5566500,10905800
2001-03-12,97755097,,4989952,9657100,5716500,,4324900,14741800,4874700,1782100,8218400,310400,177487400,4479600,7220100,,,45708300,55155200,,,8396100,8869700,14494800,59597600,6746200,8549500,7984800,,4978100,3460800,5499600,8676111,5024600,114376000,19053590,66843000,157200.0,2494700,13750200,6741200,,6473300,5508400,,3931900,7622400,5740200,11102000
2001-03-13,110832510,,6754702,12066400,3330700,,4802100,16513600,7026200,1990200,11815200,213200,135080500,5286600,8569700,,,42939700,23748800,,,10060000,7347500,12127900,52027200,9966800,7065900,10361200,,8211200,4067800,9926000,9404132,8717800,91035600,27058786,57981600,171100.0,3330600,21433500,5364200,,5739000,9993200,,4824500,8839000,7959100,11603600
2001-03-14,119443919,,8338499,13360300,3124400,,6086000,25571400,6087000,2535100,9869600,274400,15405900,4671800,6016500,,,35437100,35952000,,,7025300,7580900,14246600,57451000,6944400,16205000,14145800,,9960400,5091000,11314000,7677117,5597900,90686200,33778183,52862100,94700.0,3768400,18618900,6453400,,10311500,6459600,,5588900,13686400,8548900,11598800
2001-03-15,132329532,,9013467,6869600,5824900,,5186800,12948800,6158100,1766200,10746400,242600,87632100,4381200,5261700,,,24847700,24556800,,,7711500,5012300,8420000,40752100,7471800,8561300,9442800,,5756500,4982300,4221600,7289607,7524200,71638400,46899576,77834800,110900.0,5130300,18045500,9028800,,8619000,5696400,,4957700,8754200,7509700,13140200
2001-03-16,117579117,,15229585,11703600,6984200,,11244000,18050000,10010000,2023700,5422400,352400,10082600,7003000,8243500,,,44851000,33147200,,,9820300,9680600,20029400,59068600,11282600,10739300,18494000,,8455500,6144400,6756800,10463669,9553500,112848800,30629984,89327600,168600.0,5719100,28063000,10995000,,10892700,10479200,,9618500,11874600,13859800,21222200
2001-03-19,89002289,,8782278,8085500,6774500,,6193500,10553800,4594200,1308100,5384000,141599,67185500,5335800,3869700,,,20831800,23337600,,,8090000,4994800,10235500,76656300,5758600,9742500,7439600,,4393500,4061700,4714400,6657605,4700100,61036400,23597388,50443200,221800.0,2821700,14040900,7450800,,5436700,7978400,,4786400,7919800,5855800,11753000
2001-03-20,124801724,,8490059,8771200,6294700,,4360500,17218600,6452400,1696200,9731200,190199,15255800,5971200,4355700,,,22324400,19283200,,,8313400,4264300,10101100,64431100,6389000,10213200,8841200,,4981800,5589800,5505000,14915279,5297000,91822800,49763975,65545100,174800.0,5419000,15353400,6540200,,5541100,5508400,,4552700,7481200,10035600,11128800
2001-03-21,92843892,,9626977,24281500,5506600,,3758400,16723400,4824000,2109100,21837600,146999,3497900,5890400,7498600,,,26840800,27972800,,,7536100,4239500,11013000,68549500,11865800,12026300,18423000,,6182500,4640400,8985600,11712210,5762500,124988600,46933776,50574600,142900.0,7319300,17576100,10156400,,7122900,12255200,,5723500,9634200,8326900,11964800
