,1. open,2. high,3. low,4. close,5. volume 
2022-02-11 11:07:00,172.41,172.41,172.26,172.29,100679.0
2022-02-11 11:08:00,172.285,172.3495,172.23,172.34,121757.0
2022-02-11 11:09:00,172.3199,172.3199,172.1975,172.2,115587.0
2022-02-11 11:10:00,172.2,172.2,171.71,171.78,248941.0
2022-02-11 11:11:00,171.785,171.98,171.58,171.96,253808.0
2022-02-11 11:12:00,171.97,171.98,171.73,171.76,141108.0
2022-02-11 11:13:00,171.74,171.965,171.74,171.84,122988.0
2022-02-11 11:14:00,171.8399,171.98,171.78,171.91,82440.0
2022-02-11 11:15:00,171.92,171.94,171.73,171.759,81969.0
2022-02-11 11:16:00,171.765,171.8485,171.69,171.735,130166.0
2022-02-11 11:17:00,171.7038,171.7331,171.4,171.71,269415.0
2022-02-11 11:18:00,171.71,171.82,171.67,171.71,110900.0
2022-02-11 11:19:00,171.715,171.895,171.6911,171.85,131520.0
2022-02-11 11:20:00,171.83,171.9614,171.68,171.9614,160043.0
2022-02-11 11:21:00,171.97,172.14,171.95,172.05,135718.0
2022-02-11 11:22:00,172.0598,172.16,172.01,172.1551,111049.0
2022-02-11 11:23:00,172.15,172.24,171.91,171.94,176984.0
2022-02-11 11:24:00,171.94,172.15,171.94,172.1301,75751.0
2022-02-11 11:25:00,172.14,172.24,172.06,172.18,100762.0
2022-02-11 11:26:00,172.18,172.255,171.96,172.06,102837.0
2022-02-11 11:27:00,172.065,172.08,171.885,171.89,124031.0
2022-02-11 11:28:00,171.9,172.04,171.84,172.01,148703.0
2022-02-11 11:29:00,172.0,172.155,171.885,171.9057,126422.0
2022-02-11 11:30:00,171.91,172.11,171.84,172.06,86143.0
2022-02-11 11:31:00,172.06,172.18,171.94,172.145,142957.0
2022-02-11 11:32:00,172.14,172.14,172.0,172.12,76353.0
2022-02-11 11:33:00,172.13,172.175,171.95,172.01,97110.0
2022-02-11 11:34:00,172.01,172.01,171.84,171.92,105019.0
2022-02-11 11:35:00,171.93,171.93,171.67,171.69,166065.0
2022-02-11 11:36:00,171.7,171.786,171.66,171.745,143785.0
2022-02-11 11:37:00,171.75,171.78,171.49,171.539,171648.0
2022-02-11 11:38:00,171.525,171.565,171.44,171.46,111397.0
2022-02-11 11:39:00,171.46,171.62,171.43,171.51,125139.0
2022-02-11 11:40:00,171.52,171.5989,171.4321,171.58,92251.0
2022-02-11 11:41:00,171.57,171.67,171.51,171.525,119672.0
2022-02-11 11:42:00,171.51,171.54,171.37,171.46,144927.0
2022-02-11 11:43:00,171.48,171.6,171.42,171.4699,123479.0
2022-02-11 11:44:00,171.46,171.55,171.39,171.41,67471.0
2022-02-11 11:45:00,171.4,171.48,171.37,171.4494,177038.0
2022-02-11 11:46:00,171.45,171.6,171.4002,171.53,100086.0
2022-02-11 11:47:00,171.5399,171.5399,171.379,171.39,83593.0
2022-02-11 11:48:00,171.385,171.5431,171.3,171.5431,124906.0
2022-02-11 11:49:00,171.54,171.6,171.49,171.56,135817.0
2022-02-11 11:50:00,171.57,171.695,171.53,171.575,143808.0
2022-02-11 11:51:00,171.57,171.58,171.365,171.4,131163.0
2022-02-11 11:52:00,171.4,171.53,171.36,171.5099,96389.0
2022-02-11 11:53:00,171.5,171.55,171.38,171.43,96415.0
2022-02-11 11:54:00,171.43,171.6,171.42,171.59,89428.0
2022-02-11 11:55:00,171.5999,171.72,171.51,171.523,111699.0
2022-02-11 11:56:00,171.52,171.64,171.48,171.635,92199.0
2022-02-11 11:57:00,171.64,171.83,171.57,171.81,159785.0
2022-02-11 11:58:00,171.8,171.91,171.7417,171.9,112335.0
2022-02-11 11:59:00,171.89,171.92,171.79,171.825,139057.0
2022-02-11 12:00:00,171.8136,171.85,171.73,171.79,85132.0
2022-02-11 12:01:00,171.78,171.78,171.52,171.58,118304.0
2022-02-11 12:02:00,171.5801,171.6,171.533,171.5898,87454.0
2022-02-11 12:03:00,171.58,171.74,171.5554,171.73,108770.0
2022-02-11 12:04:00,171.73,171.91,171.725,171.8801,157861.0
2022-02-11 12:05:00,171.88,171.97,171.81,171.935,97582.0
2022-02-11 12:06:00,171.94,171.96,171.805,171.84,95636.0
2022-02-11 12:07:00,171.85,171.855,171.7297,171.785,106448.0
2022-02-11 12:08:00,171.775,171.94,171.775,171.8825,83264.0
2022-02-11 12:09:00,171.89,171.98,171.81,171.8788,494687.0
2022-02-11 12:10:00,171.87,172.0,171.84,171.865,99141.0
2022-02-11 12:11:00,171.8686,171.99,171.83,171.95,79297.0
2022-02-11 12:12:00,171.96,172.03,171.82,171.86,120156.0
2022-02-11 12:13:00,171.86,172.2,171.86,172.08,174155.0
2022-02-11 12:14:00,172.07,172.15,171.99,172.04,98454.0
2022-02-11 12:15:00,172.04,172.05,171.95,171.99,82060.0
2022-02-11 12:16:00,171.99,171.99,171.845,171.9,89890.0
2022-02-11 12:17:00,171.9,171.97,171.9,171.9299,85398.0
2022-02-11 12:18:00,171.92,171.92,171.7025,171.71,102229.0
2022-02-11 12:19:00,171.705,171.73,171.63,171.68,151885.0
2022-02-11 12:20:00,171.68,171.73,171.61,171.71,87156.0
2022-02-11 12:21:00,171.71,171.74,171.62,171.645,63584.0
2022-02-11 12:22:00,171.64,171.66,171.56,171.57,85856.0
2022-02-11 12:23:00,171.57,171.6274,171.56,171.61,64402.0
2022-02-11 12:24:00,171.61,171.6901,171.6067,171.625,88599.0
2022-02-11 12:25:00,171.63,171.69,171.59,171.6,79687.0
2022-02-11 12:26:00,171.59,171.74,171.535,171.7,105304.0
