date,AAPL,ABBV,ABT,AMGN,AMZN,AVGO,BA,BAC,BMY,C,CELG,CMCSA,CSCO,CVX,DIS,DWDP,FB,GE,GILD,GOOG,GOOGL,HD,HON,IBM,INTC,JNJ,JPM,KO,MA,MCD,MDT,MMM,MO,MRK,MSFT,NVDA,ORCL,PCLN,PEP,PFE,PG,PM,T,UNH,V,VZ,WFC,WMT,XOM
2011-11-30,48.7451798944,,22.588472636,50.4821095642,192.29,26.7437397538,58.6333634405,5.1142463148,27.0765035102,26.5671864792,31.54,10.1093459868,15.3377174412,81.0943656759,32.4649898749,,,12.8244648908,18.5683542537,,300.6229943844,34.3140333903,47.334316372,157.4164159304,20.370198656,53.9333936202,26.0821457828,27.7432378539,36.0798019045,78.7199280397,31.7130792805,69.4473060566,21.4933014318,28.5936429748,21.6828553623,14.4836758134,28.8637298287,485.89,53.4575496934,16.0416890904,52.9585361597,57.950833837,20.6643678329,44.0628396605,23.104829451,27.9797747415,21.7041828386,49.857163337,66.0747582567
2011-12-01,49.4759749776,,22.5760500112,50.5605656143,197.13,26.7348013381,60.5880934198,5.1988570075,27.2254573804,26.0934629939,31.38,10.0647524888,15.2883471061,80.3135504452,32.5917708674,,,12.8244648908,18.4844821391,,307.8352579511,34.4190227836,47.3517990373,158.6305319043,20.3783761746,53.7083933687,25.6526367628,27.5781732229,36.6972669431,78.7034456427,32.0351720429,68.8131623439,21.4858098663,28.5376554222,21.4285607334,14.6597409704,29.1583516324,488.43,53.5327243727,16.0097176124,52.5566516511,57.5327729948,20.564539969,43.836969045,23.2930610203,28.0094379006,21.5195378183,49.6116866414,65.5408374105
2011-12-02,49.7017179614,,22.4228376395,50.6477390033,196.03,27.8521032997,60.8612434605,5.3022700764,27.1178795852,27.234266489,30.605,10.4170411227,15.2636619385,80.2031321298,33.1532295487,,,12.9695562598,18.3586739673,,311.1404607956,34.9439697503,47.3168337067,158.8063693902,20.1494056557,52.8917257892,27.2275031695,27.3924755131,36.4487396733,78.8682696126,30.128731098,68.3504088238,21.2835375977,28.3776909859,21.3777018076,14.5670750983,28.7256258582,486.48,53.6914264733,15.8978174394,53.0323516817,57.3655486579,20.6501067095,43.5749591311,23.1596310471,28.0687642186,21.8804349034,49.1715215322,65.5408374105
2011-12-05,50.123870095,,22.4890916381,50.1246986694,196.24,27.7448423114,60.6819887463,5.4432878975,27.1675308753,28.8391256431,30.655,10.3233947769,15.461143279,81.0943656759,33.4520704597,,,13.1630114184,18.7081411113,,313.7936509394,35.1976941175,47.8150896685,159.7944085966,20.4519738413,52.8000590201,28.2212691373,27.3635892026,35.915080342,78.5798276652,31.3213448398,69.3530414507,21.1411978531,28.2017301061,21.7845732139,14.3446770052,29.3701110537,484.02,53.791659379,15.8578530919,53.1799827257,57.6695929068,20.785587382,43.7579143296,22.8880057447,28.2170800137,22.4427629197,49.3831393732,66.0829724236
2011-12-06,49.8611409726,,22.584331761,50.4646748864,191.99,27.5392587505,60.4941980932,5.4338867095,27.4075121106,28.7617830333,31.105,10.3412321761,15.4117729439,82.3089671459,33.3524568227,,,13.4773760512,18.5450564441,,312.8507402645,35.2764361625,47.7276763419,161.5527834554,20.7300094713,52.9083924745,27.9854602636,27.5162739863,35.7667346073,79.123746766,31.269113581,70.3813826065,21.5457423904,28.3137052115,21.7506672634,14.1408120865,29.2135932205,479.1,54.0004779325,16.1695750025,53.1799827257,57.4491608263,20.7998485054,43.77604481,22.7236009564,28.417306337,22.3672263205,49.7555867733,66.3868965976
2011-12-07,49.623919532,,22.6505857596,50.8569551369,195.32,27.9057337939,60.2637277463,5.5372997783,27.7467959259,28.8391256431,31.325,10.3144760774,15.6257110627,82.4351595064,33.5969630226,,,13.4934973144,18.3679930911,,312.6601519366,35.6351499231,47.1507483861,162.4822101665,20.9835125457,53.7083933687,28.6339346663,27.557540144,36.0605362247,79.4863594998,31.6782584413,70.6041898569,21.5981833489,28.4816678695,21.6998083376,14.0574128016,29.0386615246,484.29,54.2176492281,16.3614038705,53.4998499876,57.4491608263,20.9638514247,44.7278950284,23.128656232,28.4098905473,22.7029445392,49.8360015529,66.600464936
2011-12-08,49.824154834,,22.4352602643,50.9136178397,190.48,27.4230593464,59.896682379,5.255264136,27.5647411957,26.8282177874,30.645,10.0201589908,15.2801187169,80.6448053916,32.5283803712,,,13.1468901552,18.0464833186,,308.9787879185,34.917722402,46.2154257911,160.414026404,20.2066482855,53.1500594113,27.1348639691,27.5369070652,35.5750410929,79.8736958292,30.6945697346,68.950274498,21.3734363838,28.1457425534,21.530278585,13.6126166154,28.3021070154,479.46,53.733190184,16.1376035244,52.8765189131,56.6738479917,20.5788010924,43.6581966877,22.8260561144,28.0391010596,21.981150369,49.3845730651,65.6065507455
2011-12-09,50.2016685244,,22.5967543858,51.0748886094,193.03,27.3604904366,61.3990076033,5.377479581,27.7550711409,27.8143360628,31.79,10.1138053366,15.5351987817,82.222209898,33.1079506228,,,13.5741036305,18.1769510524,,314.6813913089,35.1976941175,47.2031963821,162.9092440607,20.4519738413,53.7750601099,27.9433515361,27.8835427903,36.3562644101,80.7884688623,31.269113581,70.4413691739,21.5607255214,28.5376554222,21.7845732139,13.8072149469,29.1767654951,479.74,54.451526008,16.433339696,53.2866051463,57.4491608263,20.7000206415,44.3380897009,23.1572483691,28.4988800243,22.5854431626,49.6741686988,66.8140332745
2011-12-12,49.9746501565,,22.4725281385,49.8283091468,189.52,26.3325726319,60.5198059096,5.1236475029,27.4571634006,26.3158229972,31.83,10.3769069745,15.2472051602,81.2915412392,33.1894526894,,,13.2677996293,18.1769510524,,313.6632483993,35.0402100275,46.2329084564,160.9164192208,19.6260444699,52.9250591598,26.9832725502,27.6029329176,35.7648080393,81.1593227947,30.8599687207,69.0616781232,21.6281496109,28.3217034333,21.6235199489,13.46435122,28.8361090346,475.39,54.0088306746,16.2974609145,52.7452913184,57.1223132588,20.6857595181,43.6944576484,23.0929160606,28.4395537063,22.0650799237,49.4782657701,65.754405749
2011-12-13,49.5882087775,,22.5056551377,50.0636772971,180.51,26.1359274866,60.5198059096,5.0014320578,27.7467959259,26.0064525578,31.98,10.3412321761,15.1978348251,81.7253274785,32.8996675636,,,13.2355571029,17.9812494517,,313.7836199748,34.5677577575,45.725911162,160.0539782186,19.2662336546,52.8000590201,26.3516416385,27.4337416708,35.5393995853,80.7637452668,30.9209051892,68.0504759866,21.718048397,28.3217034333,21.8354321397,13.0936877315,28.3849693977,462.69,53.6914264733,16.5931970861,53.0897637543,57.3959530828,20.7071512032,43.4496961636,22.8522655734,28.3728115985,21.6454321503,49.0609073568,66.1486857585
