date,AAPL,ABBV,ABT,AMGN,AMZN,AVGO,BA,BAC,BMY,C,CELG,CMCSA,CSCO,CVX,DIS,DWDP,FB,GE,GILD,GOOG,GOOGL,HD,HON,IBM,INTC,JNJ,JPM,KO,MA,MCD,MDT,MMM,MO,MRK,MSFT,NVDA,ORCL,PCLN,PEP,PFE,PG,PM,T,UNH,V,VZ,WFC,WMT,XOM
2011-09-21,52.5636798579,,21.3311963782,48.6114440529,231.87,32.1604196638,51.7601280513,5.9869525667,25.5167137309,24.6642794519,31.9,9.7496043285,13.0877629904,73.759715792,28.326496047,,,12.3972514155,18.4844821391,,270.4348063399,29.3882564995,38.9500963672,144.2953897757,17.7871245719,52.1234829619,25.469052251,28.387620112,32.8777417469,71.5907662,29.2645624241,64.9605806469,19.5679690972,25.4743364685,21.8668398233,13.4041184031,27.1428262521,531.27,50.3709904032,14.1186551363,51.2715535377,50.1699846398,20.1601623332,43.3761929895,21.7312559978,26.5413996271,19.8058677986,43.4409103982,58.7710401056
2011-09-22,51.2474834777,,20.8983058448,47.7440021533,223.23,30.3727365252,49.8091563286,5.6866665445,25.2446453777,23.1565883882,31.77,9.3749626251,12.666376682,70.5517510657,26.7598452107,,,12.1231899408,17.8647604037,,261.1361021308,28.7021831356,36.4327065864,140.625873448,17.5236416418,51.1244426581,24.57083584,27.7893821593,31.9125360254,70.3392365806,28.435097413,62.0333551108,19.253323346,24.8984644981,21.0843788369,12.5191593243,26.0402063638,505.57,50.4787092509,13.8416635838,49.7664381133,48.7880569192,19.7683570582,42.5449891247,20.9896073573,26.3562615159,19.3547851916,42.5605801797,56.5417092804
2011-09-23,51.5637787319,,21.0096205534,47.7960486673,223.61,31.105686612,50.4792727029,5.9212649993,25.4672467576,24.1423863914,31.335,9.5444433957,12.8977260278,70.4265621983,27.0134071958,,,12.2602206781,17.906696461,,263.5686110528,29.284042824,36.8320166895,141.2263397562,17.9654822476,50.8519771206,24.8394613087,27.6254813504,32.4978306038,71.4680672177,28.564701321,62.9608771557,19.3057643046,24.8344787236,21.0843788369,12.7786237663,26.5547623117,514.61,49.9981174688,13.8100074063,49.8315241857,48.502658803,19.8395943809,43.0057651802,21.412727415,26.5710217249,19.7891610354,43.0007452889,56.5988716092
2011-09-26,51.4196603298,,20.9230424467,48.0823044942,229.85,30.4799975135,52.5998941406,6.1933992069,25.5084692353,25.8240418086,31.55,9.7674444096,13.21170014,71.5845592215,27.4390290993,,,12.5504034161,18.4285673961,,266.7684887688,29.5272080669,38.0212663446,145.5380214412,18.0303395843,51.7601955787,26.5687377635,28.1745490604,32.2442350945,73.0795138518,29.1695195583,63.9820023427,19.4780703112,25.282379145,21.4040940786,12.8064235279,27.2990307363,513.59,51.2824575761,14.0632568258,50.8810371033,49.0879439821,20.1886572623,44.0989789589,21.4602689945,26.9264868985,20.7080330125,43.8726107938,58.5668889311
2011-09-27,50.9209851508,,21.108566961,49.0278161647,224.21,30.8285957255,53.2530455434,6.0807919486,25.7558041019,26.0849883388,31.985,9.9592252816,13.277799953,73.1885415846,28.2178266249,,,12.7035554167,18.6615454921,,270.5050230923,29.4229943914,39.1844740364,148.2067605886,18.2735545966,52.6931836311,26.5015813963,28.5064481985,32.6019686836,73.4067111379,29.7829780561,64.9095243875,19.7927160623,25.706284901,21.5976059355,12.8249567023,27.6849476973,511.12,51.7299050974,14.0474287371,51.4668117549,49.186758363,20.4237404274,44.6772077345,21.2701026764,27.3189796943,20.8500404999,44.0419050666,59.5386485216
2011-09-28,50.6340237307,,20.9890067185,48.2904905501,229.71,29.5057102029,52.5235517689,5.7805059264,25.4260242798,25.0508669041,31.2,9.8098146022,13.0877629904,71.7801668267,27.6020332325,,,12.4536758368,18.256163605,,265.2387666632,29.1798291485,38.4292571022,148.0733236312,18.0870897538,52.2225613392,25.5781813476,27.8877226447,31.8026124966,72.0079427398,29.1522390372,62.6290114699,19.5529859662,25.5463204648,21.5176771251,12.4357600394,27.0647240101,498.09,51.3487460978,13.8970618943,51.0356165253,48.1758112354,20.3382556401,43.0419044787,20.8303430659,27.2819520721,20.4240180378,43.4324456846,58.8527005753
2011-09-29,49.8126763772,,21.376546815,48.385909159,222.44,29.648724854,52.9052636276,5.9588007521,25.6568701552,25.9980061621,31.465,9.6737839837,13.0960254671,73.8536074425,27.7559815806,,,12.7841617328,18.2887805385,,264.5666920332,29.3448341347,39.0629448746,149.4243728246,18.006018083,52.7592358826,26.3504795701,28.2933771469,31.662797482,72.6214376512,29.3423247689,63.4203834898,19.8076991934,26.1221924352,21.4125076376,12.1299626614,27.2438997419,478.02,51.8541960755,14.2294517574,51.8247851532,48.6546809274,20.544843876,42.0842130692,20.8446055397,27.51152333,20.8751006447,43.9572579302,60.3307550785
2011-09-30,48.6329460946,,21.0838303591,47.6746068013,216.23,29.2911882263,51.327521278,5.7429701737,25.8712270396,24.7560939718,30.955,9.3303624223,12.8068387848,72.4452326846,27.3122481067,,,12.2682813097,18.079100252,,258.3174010706,28.5458626223,38.1167535432,145.8382545952,17.2966409636,52.5858487224,25.2843722412,27.6828466335,30.5818827828,71.8361641646,28.7202260106,61.0888143128,20.084887117,26.1541853224,20.941348334,11.592500603,26.4077463266,449.46,51.2907436413,13.9920304266,51.4017256825,47.4157006132,20.3168844433,41.6686111368,20.3763209815,27.2523299743,20.1483564446,43.9318637893,59.3099992062
2011-10-03,47.7758879865,,20.6756764276,46.7551183878,211.98,28.5046076453,49.4104794983,5.1893178203,25.9619164906,22.3350900523,30.35,9.1307765149,12.5507020091,70.3248462436,26.2617770257,,,11.8410678344,17.6178036219,,248.5271795948,27.4342500833,36.736529491,144.5205646412,16.7169785174,51.256547161,24.0503739944,26.8059773056,29.9763391333,70.3637763771,27.4673882334,60.3570079288,19.8975979794,25.2503862578,20.6384602103,10.9438394982,25.672666401,445.75,49.9566871428,13.715038874,51.1251098748,46.9444320275,20.0604300814,38.7774672591,20.029267451,26.9116758496,19.3631385732,43.9826520711,58.1014242533
2011-10-04,47.5080573278,,20.8199732721,47.1454672426,212.5,28.9068363515,50.1654207301,5.4051483987,26.4565862237,23.5721698994,30.655,9.4940343232,12.9225134577,71.5767349172,27.0405745513,,,11.9780985718,17.6504205553,,251.7270573108,28.1984837039,37.8997371828,145.7298370674,17.2034085422,51.330855944,25.6117595312,26.7281244213,29.6658533767,70.7400532561,27.769797352,61.2760205971,19.8826148484,25.0744253779,21.3199584887,11.9538975043,26.3618038312,444.0,50.0892641861,13.9208040274,51.5563051045,47.7349470746,20.1672860655,38.6509797145,20.1528755578,26.9561089963,20.2235368791,44.761405726,59.4733201457
